player_name,total_points,Opp_GC_90,was_home,form,prev_tp_avg,xGipg_last7,comp_form
Ander Herrera,2,5.0,1,1.0,1.0,1.0,2.0
Ander Herrera,3,5.0,1,1.0,1.0,1.0,2.0
Ander Herrera,6,2.0,1,1.0,1.0,1.0,1.0
Ander Herrera,13,4.0,0,1.0,1.0,1.0,2.0
Ander Herrera,7,1.0,0,3.0,1.0,1.0,3.0
Ander Herrera,3,5.0,1,3.0,2.0,2.0,3.0
Ander Herrera,3,3.0,0,3.0,2.0,2.0,3.0
Ander Herrera,2,2.0,0,4.0,2.0,3.0,3.0
Andre Gray,2,2.0,1,1.0,1.0,1.0,1.0
Andre Gray,10,2.0,0,1.0,1.0,3.0,1.0
Andre Gray,2,6.0,1,3.0,3.0,2.0,2.0
Andre Gray,2,4.0,0,2.0,2.0,2.0,2.0
Andre Gray,2,5.0,1,2.0,2.0,2.0,2.0
Andre Gray,1,4.0,1,2.0,3.0,2.0,2.0
Andre Gray,2,5.0,1,2.0,2.0,1.0,2.0
Andre Gray,2,2.0,0,1.0,2.0,2.0,1.0
Andre Gray,7,6.0,1,1.0,2.0,1.0,1.0
Andre Gray,17,1.0,0,1.0,2.0,1.0,2.0
Andre Gray,1,4.0,1,3.0,3.0,2.0,3.0
Andre Gray,2,3.0,0,3.0,3.0,2.0,3.0
Andre Gray,8,4.0,1,3.0,2.0,2.0,3.0
Andre Gray,2,5.0,0,4.0,3.0,3.0,4.0
Andre Gray,1,2.0,1,3.0,3.0,3.0,3.0
Andre Gray,2,6.0,0,1.0,2.0,3.0,2.0
Andre Gray,2,5.0,0,1.0,2.0,3.0,2.0
Andre Gray,12,2.0,0,1.0,2.0,2.0,2.0
Andre Gray,2,6.0,0,2.0,3.0,2.0,2.0
Andre Gray,2,2.0,1,2.0,2.0,3.0,2.0
Andre Gray,1,5.0,1,2.0,2.0,2.0,2.0
Andre Gray,2,4.0,0,2.0,2.0,2.0,2.0
Andre Gray,2,3.0,0,2.0,2.0,2.0,2.0
Andrea Ranocchia,12,3.0,0,1.0,2.0,2.0,1.0
Andrea Ranocchia,2,4.0,0,2.0,2.0,1.0,2.0
Andrea Ranocchia,1,5.0,1,2.0,2.0,1.0,2.0
Andrea Ranocchia,2,3.0,0,2.0,2.0,1.0,2.0
Andrea Ranocchia,11,4.0,1,2.0,2.0,1.0,2.0
Andrea Ranocchia,1,1.0,0,3.0,2.0,1.0,3.0
Andrea Ranocchia,7,5.0,0,2.0,2.0,1.0,2.0
Andrea Ranocchia,5,5.0,1,3.0,2.0,1.0,2.0
Andrea Ranocchia,8,4.0,0,3.0,2.0,1.0,3.0
Andrea Ranocchia,5,6.0,1,4.0,2.0,1.0,3.0
Andrea Ranocchia,1,4.0,0,3.0,2.0,1.0,3.0
Andrew Robertson,2,5.0,0,1.0,1.0,4.0,1.0
Andrew Robertson,7,2.0,1,1.0,1.0,2.0,1.0
Andrew Robertson,2,3.0,1,1.0,1.0,1.0,2.0
Andrew Robertson,2,4.0,1,1.0,2.0,1.0,2.0
